accession,entry_name,protein_names,gene_names
O43181,NDUS4_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)",NDUFS4
O43237,DC1L2_HUMAN,"Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic) (LIC-2) (LIC53/55)",DYNC1LI2 DNCLI2 LIC2
O43242,PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3
O43252,PAPS1_HUMAN,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],PAPSS1 ATPSK1 PAPSS
O43264,ZW10_HUMAN,Centromere/kinetochore protein zw10 homolog,ZW10
O43290,SNUT1_HUMAN,U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1),SART1
O43307,ARHG9_HUMAN,Rho guanine nucleotide exchange factor 9 (Collybistin) (PEM-2 homolog) (Rac/Cdc42 guanine nucleotide exchange factor 9),ARHGEF9 ARHDH9 KIAA0424
O43314,VIP2_HUMAN,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2),PPIP5K2 HISPPD1 KIAA0433 VIP2
O43324,MCA3_HUMAN,Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18),EEF1E1 AIMP3 P18
O43390,HNRPR_HUMAN,Heterogeneous nuclear ribonucleoprotein R (hnRNP R),HNRNPR HNRPR
O43396,TXNL1_HUMAN,Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein),TXNL1 TRP32 TXL TXNL
O43399,TPD54_HUMAN,Tumor protein D54 (hD54) (Tumor protein D52-like 2),TPD52L2
O43447,PPIH_HUMAN,Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP),PPIH CYP20 CYPH
O43488,ARK72_HUMAN,Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase),AKR7A2 AFAR AFAR1 AKR7
O43493,TGON2_HUMAN,Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2),TGOLN2 TGN46 TGN51
O43566,RGS14_HUMAN,Regulator of G-protein signaling 14 (RGS14),RGS14
O43572,AKA10_HUMAN,"A-kinase anchor protein 10, mitochondrial (AKAP-10) (Dual specificity A kinase-anchoring protein 2) (D-AKAP-2) (Protein kinase A-anchoring protein 10) (PRKA10)",AKAP10
O43586,PPIP1_HUMAN,Proline-serine-threonine phosphatase-interacting protein 1 (PEST phosphatase-interacting protein 1) (CD2-binding protein 1) (H-PIP),PSTPIP1 CD2BP1
O43592,XPOT_HUMAN,Exportin-T (Exportin(tRNA)) (tRNA exportin),XPOT
O43598,DNPH1_HUMAN,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL),DNPH1 C6orf108 RCL
O43615,TIM44_HUMAN,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44 MIMT44 TIM44
O43633,CHM2A_HUMAN,Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1),CHMP2A BC2 CHMP2
O43670,ZN207_HUMAN,BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207),ZNF207 BUGZ
O43674,NDUB5_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Complex I-SGDH) (CI-SGDH) (NADH-ubiquinone oxidoreductase SGDH subunit)",NDUFB5
O43676,NDUB3_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Complex I-B12) (CI-B12) (NADH-ubiquinone oxidoreductase B12 subunit),NDUFB3
O43681,GET3_HUMAN,"ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",GET3 ARSA ASNA1 TRC40
O43684,BUB3_HUMAN,Mitotic checkpoint protein BUB3,BUB3
O43707,ACTN4_HUMAN,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4
O43708,MAAI_HUMAN,Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18),GSTZ1 MAAI
O43719,HTSF1_HUMAN,HIV Tat-specific factor 1 (Tat-SF1),HTATSF1
O43747,AP1G1_HUMAN,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),AP1G1 ADTG CLAPG1
O43772,MCAT_HUMAN,Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (Solute carrier family 25 member 20),SLC25A20 CAC CACT
O43776,SYNC_HUMAN,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)",NARS1 NARS NRS
O43809,CPSF5_HUMAN,Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit),NUDT21 CFIM25 CPSF25 CPSF5
O43818,U3IP2_HUMAN,U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K),RRP9 RNU3IP2 U355K
O43823,AKAP8_HUMAN,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),AKAP8 AKAP95
O43837,IDH3B_HUMAN,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)",IDH3B
O43847,NRDC_HUMAN,Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase),NRDC NRD1
O43865,SAHH2_HUMAN,S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2),AHCYL1 DCAL IRBIT XPVKONA
O43920,NDUS5_HUMAN,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit),NDUFS5
O60216,RAD21_HUMAN,Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)],RAD21 HR21 KIAA0078 NXP1 SCC1
O60234,GMFG_HUMAN,Glia maturation factor gamma (GMF-gamma),GMFG
O60244,MED14_HUMAN,Mediator of RNA polymerase II transcription subunit 14 (Activator-recruited cofactor 150 kDa component) (ARC150) (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (RGR1 homolog) (hRGR1) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170) (Transcriptional coactivator CRSP150) (Vitamin D3 receptor-interacting protein complex 150 kDa component) (DRIP150),MED14 ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170
O60256,KPRB_HUMAN,Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41),PRPSAP2
O60264,SMCA5_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H),SMARCA5 SNF2H WCRF135
O60313,OPA1_HUMAN,"Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]",OPA1 KIAA0567
O60341,KDM1A_HUMAN,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),KDM1A AOF2 KDM1 KIAA0601 LSD1
O60449,LY75_HUMAN,Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205),LY75 CD205 CLEC13B
O60462,NRP2_HUMAN,Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2),NRP2 VEGF165R2
O60486,PLXC1_HUMAN,Plexin-C1 (Virus-encoded semaphorin protein receptor) (CD antigen CD232),PLXNC1 VESPR
O60488,ACSL4_HUMAN,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4),ACSL4 ACS4 FACL4 LACS4
O60493,SNX3_HUMAN,Sorting nexin-3 (Protein SDP3),SNX3
O60496,DOK2_HUMAN,Docking protein 2 (Downstream of tyrosine kinase 2) (p56(dok-2)),DOK2
O60502,OGA_HUMAN,Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT),OGA HEXC KIAA0679 MEA5 MGEA5
O60506,HNRPQ_HUMAN,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)",SYNCRIP HNRPQ NSAP1
O60518,RNBP6_HUMAN,Ran-binding protein 6 (RanBP6),RANBP6
O60524,NEMF_HUMAN,Ribosome quality control complex subunit NEMF (Antigen NY-CO-1) (Nuclear export mediator factor) (Serologically defined colon cancer antigen 1),NEMF SDCCAG1
O60547,GMDS_HUMAN,"GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)",GMDS
O60568,PLOD3_HUMAN,"Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]",PLOD3
O60603,TLR2_HUMAN,Toll-like receptor 2 (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282),TLR2 TIL4
O60610,DIAP1_HUMAN,Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1),DIAPH1 DIAP1
O60613,SEP15_HUMAN,Selenoprotein F (15 kDa selenoprotein),SELENOF SEP15
O60645,EXOC3_HUMAN,Exocyst complex component 3 (Exocyst complex component Sec6),EXOC3 SEC6 SEC6L1
O60664,PLIN3_HUMAN,Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17),PLIN3 M6PRBP1 TIP47
O60684,IMA7_HUMAN,Importin subunit alpha-7 (Karyopherin subunit alpha-6),KPNA6 IPOA7
O60701,UGDH_HUMAN,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),UGDH
O60711,LPXN_HUMAN,Leupaxin,LPXN LDLP
O60716,CTND1_HUMAN,Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas)),CTNND1 KIAA0384
O60749,SNX2_HUMAN,Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9),SNX2 TRG9
O60762,DPM1_HUMAN,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1),DPM1
O60763,USO1_HUMAN,General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein),USO1 VDP
O60784,TOM1_HUMAN,Target of Myb1 membrane trafficking protein (Target of Myb protein 1),TOM1
Q99879,H2B1M_HUMAN,Histone H2B type 1-M (Histone H2B.e) (H2B/e),H2BC14 H2BFE HIST1H2BM
O60826,CCD22_HUMAN,Coiled-coil domain-containing protein 22,CCDC22 CXorf37 JM1
O60830,TI17B_HUMAN,Mitochondrial import inner membrane translocase subunit Tim17-B,TIMM17B TIM17B JM3
O60832,DKC1_HUMAN,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),DKC1 NOLA4
O60841,IF2P_HUMAN,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),EIF5B IF2 KIAA0741
O60879,DIAP2_HUMAN,Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2),DIAPH2 DIA
O60884,DNJA2_HUMAN,DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14),DNAJA2 CPR3 HIRIP4
Q9BZK7,TBL1R_HUMAN,F-box-like/WD repeat-containing protein TBL1XR1 (Nuclear receptor corepressor/HDAC3 complex subunit TBLR1) (TBL1-related protein 1) (Transducin beta-like 1X-related protein 1),TBL1XR1 IRA1 TBLR1
O75027,ABCB7_HUMAN,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)",ABCB7 ABC7
O75037,KI21B_HUMAN,Kinesin-like protein KIF21B,KIF21B KIAA0449
P0DMP2,SRG2B_HUMAN,SLIT-ROBO Rho GTPase-activating protein 2B (SLIT-ROBO Rho GTPase activating protein 2 pseudogene 2),SRGAP2B SRGAP2P2
O75064,DEN4B_HUMAN,DENN domain-containing protein 4B,DENND4B KIAA0476
O75083,WDR1_HUMAN,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1),WDR1
O75113,N4BP1_HUMAN,NEDD4-binding protein 1 (N4BP1) (EC 3.1.-.-),N4BP1 KIAA0615
O75116,ROCK2_HUMAN,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",ROCK2 KIAA0619
O75131,CPNE3_HUMAN,Copine-3 (Copine III),CPNE3 CPN3 KIAA0636
O75165,DJC13_HUMAN,DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8),DNAJC13 KIAA0678 RME8
O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),DNAJB6 HSJ2 MRJ MSJ1
O75251,NDUS7_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)",NDUFS7
O75306,NDUS2_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",NDUFS2
O75323,NIPS2_HUMAN,Protein NipSnap homolog 2 (NipSnap2) (Glioblastoma-amplified sequence),NIPSNAP2 GBAS
O75340,PDCD6_HUMAN,Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2),PDCD6 ALG2
O75347,TBCA_HUMAN,Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA),TBCA
O75348,VATG1_HUMAN,V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16),ATP6V1G1 ATP6G ATP6G1 ATP6J
O75351,VPS4B_HUMAN,Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1),VPS4B SKD1 VPS42 MIG1
O75367,H2AY_HUMAN,Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205),MACROH2A1 H2AFY
O75368,SH3L1_HUMAN,Adapter SH3BGRL (SH3 domain-binding glutamic acid-rich-like protein 1),SH3BGRL
O75369,FLNB_HUMAN,Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP),FLNB FLN1L FLN3 TABP TAP
O75376,NCOR1_HUMAN,Nuclear receptor corepressor 1 (N-CoR) (N-CoR1),NCOR1 KIAA1047
O75381,PEX14_HUMAN,Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14),PEX14
O75390,CISY_HUMAN,"Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)",CS
O75396,SC22B_HUMAN,Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1),SEC22B SEC22L1
O75400,PR40A_HUMAN,Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6),PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225
O75427,LRCH4_HUMAN,Leucine-rich repeat and calponin homology domain-containing protein 4 (Leucine-rich repeat neuronal protein 4) (Leucine-rich neuronal protein),LRCH4 LRN LRRN1 LRRN4
O75431,MTX2_HUMAN,Metaxin-2 (Mitochondrial outer membrane import complex protein 2),MTX2
O75436,VP26A_HUMAN,Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26),VPS26A VPS26
O75439,MPPB_HUMAN,Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52),PMPCB MPPB
O75477,ERLN1_HUMAN,Erlin-1 (Endoplasmic reticulum lipid raft-associated protein 1) (Protein KE04) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1) (SPFH domain-containing protein 1),ERLIN1 C10orf69 KE04 KEO4 SPFH1
O75489,NDUS3_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",NDUFS3
O75494,SRS10_HUMAN,"Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)",SRSF10 FUSIP1 FUSIP2 SFRS13A TASR
O75531,BAF_HUMAN,"Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]",BANF1 BAF BCRG1
O75533,SF3B1_HUMAN,Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155),SF3B1 SAP155
O75534,CSDE1_HUMAN,Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR),CSDE1 D1S155E KIAA0885 NRU UNR
O75558,STX11_HUMAN,Syntaxin-11,STX11
O75563,SKAP2_HUMAN,Src kinase-associated phosphoprotein 2 (Pyk2/RAFTK-associated protein) (Retinoic acid-induced protein 70) (SKAP55 homolog) (SKAP-55HOM) (SKAP-HOM) (Src family-associated phosphoprotein 2) (Src kinase-associated phosphoprotein 55-related protein) (Src-associated adapter protein with PH and SH3 domains),SKAP2 PRAP RA70 SAPS SCAP2 SKAP55R
O75569,PRKRA_HUMAN,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)",PRKRA PACT RAX HSD-14 HSD14
O75592,MYCB2_HUMAN,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc),MYCBP2 KIAA0916 PAM
O75602,SPAG6_HUMAN,Sperm-associated antigen 6 (Protein PF16 homolog) (Repro-SA-1) (Sperm flagellar protein),SPAG6 PF16
O75608,LYPA1_HUMAN,Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),LYPLA1 APT1 LPL1
O75616,ERAL1_HUMAN,"GTPase Era, mitochondrial (H-ERA) (hERA) (Conserved ERA-like GTPase) (CEGA) (ERA-W) (ERA-like protein 1)",ERAL1 HERA
O75643,U520_HUMAN,U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD),SNRNP200 ASCC3L1 BRR2 HELIC2 KIAA0788
O75676,KS6A4_HUMAN,Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB),RPS6KA4 MSK2
O75691,UTP20_HUMAN,Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6),UTP20 DRIM
O75694,NU155_HUMAN,Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155),NUP155 KIAA0791
O75695,XRP2_HUMAN,Protein XRP2,RP2
O75746,S2512_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Araceli hiperlarga) (Aralar) (Aralar1) (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12)",SLC25A12 AGC1 ARALAR1
O75794,CD123_HUMAN,Cell division cycle protein 123 homolog (Protein D123) (HT-1080) (PZ32),CDC123 C10orf7 D123
P54855,UDB15_HUMAN,UDP-glucuronosyltransferase 2B15 (UDPGT 2B15) (UGT2B15) (EC 2.4.1.17) (HLUG4) (UDP-glucuronosyltransferase 2B8) (UDPGT 2B8) (UDPGTh-3),UGT2B15 UGT2B8
O75832,PSD10_HUMAN,26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK)),PSMD10
O75843,AP1G2_HUMAN,AP-1 complex subunit gamma-like 2 (Gamma2-adaptin) (G2ad),AP1G2
O75844,FACE1_HUMAN,CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog),ZMPSTE24 FACE1 STE24
O75874,IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),IDH1 PICD
